givenname,surname,given_first,title,description,industry,tags,cis_white_man,robbins_lecture_yr,note
Melvin,Calvin,TRUE,Dr.,"Born in 1911, Melvin Calvin is best known for his research on photosynthesis. He received his PhD in Chemistry from the University of Minnesota in 1935, and became an instructor the University of California, Berkeley in 1937. In the subsequent decade, Calvin researched organic molecules and structures. Upon becoming a full professor in 1947, Calvin began a series of experiments tracing the route of carbon through plants during photosynthesis, discovering what is now known as the Calvin cycle in the process. For this work, he earned the Nobel Prize in Chemistry in 1961. Later in his life, he became an associate director of the Lawrence Berkeley National Laboratory. Professor Calvin delivered the inaugural Robbins Lecture at Pomona College in 1962.",,robbins,TRUE,1962,
Peter,Debye,TRUE,Dr.,"Peter Debye was born in Netherlands. In 1905 Debye earned first degree in electrical engineering at the Aachen University of Technology in Germany. Three years later, he earned his PhD at Munich University in physics. His first major contribution was relating dipole moments to temperatures and the dielectric constant. He received the Nobel Prize in Chemistry 1936 because of his work on the frequency of X-rays when interacting with electrons. Three years before suffering a major heart attack that led to his death, Peter Debye was the Robbins Lecturer at Pomona College. ",,"robbins, non_us",TRUE,1963,
David,Green,TRUE,Dr.,"David Ezra Green, born in 1910, is most famous for his research on enzymes and metabolism. He received his PhD from the University of Cambridge in 1934. With the outbreak of World War II, he moved to Columbia University, where he studied the Krebs Cycle and amino acid metabolism. In 1947, he accepted a position at the University of Wisconsin, where he became the co-director of the Institute for Enzyme Research. Here, Professor Green directed groundbreaking research into fatty acid oxidation and the electron transport chain. Professor Green delivered the 3rd Robbins Lecture at Pomona College in 1964.",,robbins,TRUE,1964,
Francis,Crick,TRUE,Dr.,"In 1916, Francis Crick was born in Northampton, England. He studied physics and graduated from University College London in 1937. Ten years later, he made the transition from physics into biology. His Doctoral advisor in 1949 was Max Perutz who was also a Robbins Lecturer in 1979. Beginning in 1951, Francis Crick and James Watson started working together and first proposed the double helical structure for DNA in 1953. This led to them earning the Nobel Prize in Physiology or Medicine in 1962. Three years later, Francis Crick was the Robbins Lecturer at Pomona College.",,"robbins, nobel",TRUE,1965,
Linus,Pauling,TRUE,Dr.,"Born in 1901, Linus Pauling was one of two people ever to have been awarded two Nobel Prizes in different fields, winning the 1954 Nobel Prize in Chemistry for his work on chemical bonding, and the 1962 Nobel Peace Prize for his activism against nuclear weapons. He earned his PhD from Caltech in 1925, becoming a professor there soon after. At Caltech, among many other research interests, he described the hybridization of atomic orbitals and conceptualized electronegativity. Later in his research career, he studied biological molecules like hemoglobin and DNA. After the Manhattan Project, Pauling, along with his wife Ava, became anti-war activists, campaigning against nuclear weapons testing and the Vietnam War; this made him a controversial figure in academia. Professor Pauling gave the 5th Robbins Lecture at Pomona College in 1966.",,"robbins, nobel",TRUE,1966,
Marshall,Nirenberg,TRUE,Dr.,"Born in 1927, Marshall Nirenberg was most famous for discovering how DNA expressed proteins and what the role of RNA is. He earned both his Bachelor’s and Master’s degrees from the University of Florida in 1948 and 1952, respectively. Five years later, he received his PhD in Biochemistry from the University of Michigan and began his postdoctoral work at the National Institute of Health. Marshall Nirenberg earned the Nobel Prize in Physiology or Medicine in 1968, a year before he was the Robbins Lecturer at Pomona College.",,"robbins, nobel",TRUE,1967,
John ,Kendrew,TRUE,Dr.,"John Kendrew, born in 1917, is most famous for his discovery of the structure of myoglobin. He began work on his doctoral thesis at the University of Cambridge in 1939, but paused to research at the British Royal Air Force during World War II. After the war, he returned to Cambridge, joining the growing ranks of protein-structure researchers there and earning his PhD in 1949. In the 1950s, Professor Kendrew, along with future Robbins Lecturer Max Perutz, determined the crystal structures of hemoglobin and myoglobin, for which they shared the 1962 Nobel Prize in Chemistry. Professor Kendrew later co-founded the European Molecular Biology Organization. He delivered the 7th Robbins lecture at Pomona College in 1968.",,"robbins, nobel",TRUE,1968,
Jacques,Monod,TRUE,Dr.,"Born in 1910, Jacques Monod is most known for his work on how genes regulate cell breakdown of sugars. Monod’s father read Darwin to him at a very young age, which sparked a unique interest in biology. He received his PhD in 1941, and in 1959, he was appointed Professor of the Chemistry of Metabolism at the Sorbonne (university of Paris). In 1961, Jacques Monod worked with François Jacob and proposed the existence of mRNA. Later, the two suggested the existence of genes that regulate other genes by affecting the synthesis of mRNA. This earned the two men The Nobel Prize in Physiology or Medicine 1965. Four years later, Monod was the Robbins Lecturer at Pomona College. Based on the series, Monod published Chance and Necessity which examined the philosophical implications of modern biology. ",,"robbins, nobel, non_us",TRUE,1969,
Manfred,Eigen,TRUE,Dr.,"Manfred Eigen, born in 1927, lived through considerable tumult in his early life. He planned to become a musician, but he was drafted into the German army during World War II. He was captured as a prisoner of war, but managed to escape and walk hundreds of miles to Göttingen, where he intended to pursue physics. He obtained his PhD from the University of Göttingen in 1951 and began work at the Max Planck Institute for Physical Chemistry in 1954. Here, he developed new measurement techniques for very fast reactions. He became the director of the Planck Institute in 1964, and in 1967, he earned the Nobel Prize in Chemistry for his work on fast reactions. His interests later turned to biochemistry, and in 1993 he co-founded the biotechnology company Evotec. In 1970, Professor Eigen delivered the 9th Robbins Lecture at Pomona College.",,"robbins, nobel",TRUE,1970,
George,Wald,TRUE,Dr.,"Born in 1906, George Wald is most known for his work on the chemistry of vision. Son of two immigrant parents, Wald received his Bachelor from NYU and his PhD from Columbia University. After earning his PhD, Wald worked in a lab in Germany where he identified Vitamin A in the retina and its essential function. By measuring the light absorbance of pigments, Wald and his colleagues were able to identify the pigments that are sensitive to yellow-green, red, and blue light. In 1967 Wald won the Nobel Prize in Physiology or Medicine. Four years later, George Wald was the Robbins Lecturer at Pomona College.",,"robbins, nobel",TRUE,1971,
